game_id,game_date,season_year,home_team_code,away_team_code,pitcher_team,total_pa,total_pitches,avg_speed,max_speed,min_speed,innings_pitched,days_rest
20240808HHSS02024,2024-08-08,2024,SS,HH,away,25,93,137.1720430107527,146.0,109.0,6,6.0
20240814KTSS02024,2024-08-14,2024,SS,KT,away,26,102,137.97058823529412,146.0,121.0,8,6.0
20240820OBSS02024,2024-08-20,2024,SS,OB,away,20,90,133.62222222222223,143.0,104.0,6,6.0
20240825LTSS02024,2024-08-25,2024,SS,LT,away,22,93,137.83870967741936,147.0,123.0,5,5.0
20240901HTSS02024,2024-09-01,2024,SS,HT,away,29,96,134.9375,147.0,116.0,6,7.0
20240908NCSS02024,2024-09-08,2024,SS,NC,away,25,103,136.19417475728156,146.0,122.0,6,7.0
20240915SSSK02024,2024-09-15,2024,SK,SS,away,22,69,138.02898550724638,147.0,122.0,4,7.0
20240922WOSS02024,2024-09-22,2024,SS,WO,away,24,103,134.8640776699029,145.0,104.0,6,7.0
20250329SSOB02025,2025-03-29,2025,OB,SS,away,19,81,137.03703703703704,150.0,119.0,5,188.0
20250404HHSS02025,2025-04-04,2025,SS,HH,away,23,84,137.13095238095238,150.0,122.0,7,6.0
20250410SKSS02025,2025-04-10,2025,SS,SK,away,23,107,137.5607476635514,148.0,121.0,5,6.0
20250417SSLG02025,2025-04-17,2025,LG,SS,away,25,83,137.4578313253012,150.0,124.0,6,7.0
20250424HTSS02025,2025-04-24,2025,SS,HT,away,24,93,137.43010752688173,150.0,122.0,6,7.0
20250430SSSK02025,2025-04-30,2025,SK,SS,away,29,100,138.37,149.0,123.0,7,6.0
20250506SSHH02025,2025-05-06,2025,HH,SS,away,26,92,138.75,149.0,123.0,6,6.0
20250514KTSS02025,2025-05-14,2025,SS,KT,away,24,111,135.8108108108108,147.0,119.0,6,8.0
20250520SSWO02025,2025-05-20,2025,WO,SS,away,30,88,136.5681818181818,149.0,113.0,8,6.0
20250525HTSS02025,2025-05-25,2025,SS,HT,away,23,92,139.8695652173913,150.0,125.0,6,5.0
20250531SSLG02025,2025-05-31,2025,LG,SS,away,21,80,137.9875,151.0,124.0,6,6.0
20250606NCSS02025,2025-06-06,2025,SS,NC,away,26,87,136.77011494252875,150.0,119.0,7,6.0
20250617OBSS02025,2025-06-17,2025,SS,OB,away,22,73,135.7123287671233,150.0,119.0,7,11.0
20250622SSLT02025,2025-06-22,2025,LT,SS,away,26,91,137.17582417582418,149.0,123.0,6,5.0
20250628SSWO02025,2025-06-28,2025,WO,SS,away,25,84,136.51190476190476,148.0,117.0,5,6.0
20250722SKSS02025,2025-07-22,2025,SS,SK,away,24,101,134.85148514851485,149.0,114.0,5,24.0
20250727SSKT02025,2025-07-27,2025,KT,SS,away,28,80,136.95,148.0,117.0,7,5.0
