pitcher_pcode,pitcher_name,2021,2022,2023,2024,2025
53615,이도현,,,,,42.11
53645,메디나,,,50.05,,
53664,앤더슨,,,55.18,,
53665,산체스,,,54.92,,
53714,산체스,,,52.27,50.77,
53734,스미스,,,51.72,,
53754,김서현,,,39.01,44.43,41.07
53825,엘리아스,,,51.89,51.22,
53833,맥카티,,,52.95,,
53892,이로운,,,47.06,44.07,48.54
53898,송영진,,,47.98,45.63,47.55
53909,태너,,,56.24,,
53913,페디,,,51.11,,
53919,신영우,,,,35.71,35.88
53927,와이드너,,,54.55,,
53973,목지훈,,,,40.18,44.21
53996,이준호,,,51.83,47.14,
54063,원상현,,,,49.47,44.95
54064,육청명,,,,50.34,
54119,에르난데스,,,,48.51,50.75
54134,엔스,,,,50.97,
54148,진우영,,,,44.83,
54149,정지헌,,,,40.91,
54243,발라조빅,,,,48.49,
54263,김택연,,,,45.79,43.59
54304,박범준,,,,47.27,
54319,김윤하,,,,45.94,45.63
54354,헤이수스,,,,49.07,48.78
54362,전준표,,,,42.96,43.65
54363,손현기,,,,37.67,36.36
54368,김연주,,,,43.66,44.27
54401,김대호,,,,32.94,42.77
54404,육선엽,,,,42.58,42.24
54443,레예스,,,,45.92,49.16
54452,코너,,,,53.07,
54503,박준우,,,,,50.38
54537,정현수,,,,45.6,49.02
54561,전미르,,,,46.95,
54608,김민재,,,,50.0,
54610,성영탁,,,,,49.51
54612,크로우,,,,40.0,
54615,스타우트,,,,47.53,
54640,네일,,,,47.51,49.81
54645,김민주,,,,35.42,42.19
54664,알드레드,,,,48.92,
54666,라우어,,,,48.64,
54720,바리아,,,,50.22,
54729,황준서,,,,44.6,47.06
54755,와이스,,,,50.0,47.51
54768,조동욱,,,,51.83,45.35
54802,박기호,,,,,43.7
54803,최현석,,,,,48.21
54804,더거,,,,41.23,
54833,앤더슨,,,,44.38,47.59
54843,시라카와,,,,46.54,
54900,임상현,,,,46.72,33.73
54903,최우석,,,,40.16,37.61
54904,손주환,,,,29.17,48.3
54913,김민규,,,,48.57,43.0
54920,카스타노,,,,48.33,
54930,하트,,,,49.33,
