pitcher_pcode,pitcher_name,shadow_pitches,shadow_called_strikes,scsr
68043,김민,368,119,32.34
55566,김태현,31,10,32.26
69328,박주성,369,119,32.25
50036,이강준,208,67,32.21
55536,데이비슨,972,313,32.2
50211,제환유,118,38,32.2
62951,이형범,84,27,32.14
69047,전용주,112,36,32.14
69620,김기훈,206,66,32.04
53754,김서현,381,122,32.02
68242,정철원,453,145,32.01
51264,최승용,906,290,32.01
51516,김진욱,247,79,31.98
51867,김건우,532,170,31.95
68896,이채호,69,22,31.88
55912,로건,1365,435,31.87
55903,라일리,1331,424,31.86
54401,김대호,201,64,31.84
55046,박건우,44,14,31.82
53301,박윤성,388,123,31.7
54640,네일,1102,349,31.67
62754,임기영,98,31,31.63
53164,김동규,76,24,31.58
55040,김동현,38,12,31.58
69516,김현수,111,35,31.53
52809,전영준,406,128,31.53
52530,이민석,660,208,31.52
50596,홍민기,219,69,31.51
52903,조민석,121,38,31.4
55730,폰세,1312,412,31.4
69205,이교훈,51,16,31.37
64021,박세웅,1171,367,31.34
66920,최성영,413,129,31.23
62360,김태훈,516,161,31.2
62869,문승원,828,257,31.04
67539,나균안,1022,317,31.02
76118,원종현,358,111,31.01
67266,박치국,417,129,30.94
64350,하영민,1141,353,30.94
65933,구창모,110,34,30.91
65639,박정수,172,53,30.81
64995,배재환,393,121,30.79
66018,김선기,524,161,30.73
63543,구승민,62,19,30.65
68220,곽빈,837,256,30.59
76715,류현진,1056,323,30.59
50705,강재민,36,11,30.56
77637,양현종,1131,345,30.5
55348,웰스,138,42,30.43
65522,김강현,516,157,30.43
53262,김유성,191,58,30.37
68619,윤중현,56,17,30.36
69045,알칸타라,817,248,30.35
50441,황동재,178,54,30.34
68856,최민준,535,162,30.28
51111,송승기,1057,320,30.27
55855,화이트,919,278,30.25
52995,김녹원,546,165,30.22
64001,고영표,1122,339,30.21
55167,김영우,401,121,30.17
54610,성영탁,305,92,30.16
53375,후라도,1365,411,30.11
62528,김원중,379,114,30.08
51897,조병현,459,138,30.07
67419,문용익,223,67,30.04
67640,유승철,30,9,30.0
67703,박상원,457,137,29.98
69108,이지강,397,119,29.97
75867,김진성,495,148,29.9
65320,최원태,950,284,29.89
60559,박시영,57,17,29.82
65109,백승현,218,65,29.82
67962,소이현,47,14,29.79
55032,패트릭,440,131,29.77
66291,이영하,420,125,29.76
52641,황동하,286,85,29.72
52701,문동주,832,247,29.69
50556,최준용,374,111,29.68
61666,한승혁,412,122,29.61
60146,이승현,277,82,29.6
50464,이승민,423,125,29.55
73117,우규민,262,77,29.39
55610,김태형,195,57,29.23
64596,김유영,48,14,29.17
54833,앤더슨,1261,367,29.1
50812,박시후,361,105,29.09
77829,김광현,1110,322,29.01
55396,윤현,238,69,28.99
68200,김민규,76,22,28.95
75421,오승환,90,26,28.89
50106,유영찬,232,67,28.88
64580,김재열,170,49,28.82
55526,벨라스케즈,250,72,28.8
69360,조영건,550,158,28.73
52395,윤석원,272,78,28.68
65707,주현상,346,99,28.61
68639,하준영,49,14,28.57
65343,김택형,147,42,28.57
54354,헤이수스,1169,334,28.57
53139,박명근,246,70,28.46
52202,윤태호,141,40,28.37
51594,송재영,219,62,28.31
68269,김호준,106,30,28.3
69446,원태인,1108,313,28.25
55359,김서준,85,24,28.24
55532,감보아,794,224,28.21
51994,한재승,273,77,28.21
55663,이호민,103,29,28.16
55382,임진묵,32,9,28.13
68900,김영규,281,79,28.11
61643,홍건희,147,41,27.89
69745,김도현,922,256,27.77
65056,엄상백,725,201,27.72
52060,박영현,482,133,27.59
65117,이상규,80,22,27.5
55995,김태훈,135,37,27.41
68928,김시훈,216,59,27.31
