pitcher_pcode,pitcher_name,team_id,total_pitches,regulation_zone_pct,abs_zone_pct,shadow_zone_pct,chase_pct,waste_pct,first_pitch_strike_pct,regulation_zone_count,abs_zone_count,shadow_zone_count
55268,최민석,OB,1326,38.39,47.44,9.05,44.27,8.3,50.0,509,629,120
51454,이승현,SS,1917,38.55,47.42,8.87,44.5,8.09,50.31,739,909,170
67266,박치국,OB,956,37.66,47.38,9.73,43.51,9.1,55.38,360,453,93
50859,오원석,KT,2266,37.95,47.31,9.36,44.44,8.25,51.73,860,1072,212
51594,송재영,LT,500,39.4,47.2,7.8,45.2,7.6,47.58,197,236,39
65707,주현상,HH,789,35.49,47.15,11.66,44.61,8.24,50.0,280,372,92
52701,문동주,HH,1977,39.5,47.09,7.59,42.69,10.22,50.79,781,931,150
54729,황준서,HH,988,38.97,47.06,8.1,43.62,9.31,50.63,385,465,80
65949,류진욱,NC,1000,38.0,47.0,9.0,43.8,9.2,53.28,380,470,90
55322,로젠버그,WO,1380,38.48,46.96,8.48,44.2,8.84,51.14,531,648,117
69594,박진,LT,1246,37.56,46.95,9.39,42.94,10.11,52.85,468,585,117
51111,송승기,LG,2556,38.54,46.91,8.37,41.51,11.58,50.7,985,1199,214
65060,주권,KT,648,39.04,46.91,7.87,45.99,7.1,51.11,253,304,51
73211,노경은,SK,1091,38.86,46.84,7.97,41.89,11.27,49.32,424,511,87
52995,김녹원,NC,1286,37.64,46.73,9.1,45.57,7.7,50.0,484,601,117
67116,오석주,WO,989,37.11,46.71,9.61,43.38,9.91,47.74,367,462,95
76225,김건국,HT,837,39.31,46.71,7.41,42.77,10.51,46.92,329,391,62
60146,이승현,SS,647,36.63,46.68,10.05,46.68,6.65,47.83,237,302,65
77829,김광현,SK,2615,37.21,46.54,9.33,43.98,9.48,55.12,973,1217,244
67539,나균안,LT,2437,39.27,46.53,7.26,43.66,9.81,50.16,957,1134,177
69360,조영건,WO,1301,39.2,46.5,7.3,44.12,9.38,50.14,510,605,95
65665,이준영,HT,525,37.52,46.48,8.95,42.48,11.05,55.15,197,244,47
64001,고영표,KT,2611,37.34,46.42,9.08,46.53,7.05,53.4,975,1212,237
55460,가라비토,SS,1352,37.94,46.38,8.43,45.19,8.43,48.92,513,627,114
65522,김강현,LT,1128,37.68,46.37,8.69,44.5,9.13,49.17,425,523,98
50662,정해영,HT,1033,37.17,46.27,9.1,46.95,6.78,45.56,384,478,94
55526,벨라스케즈,LT,645,38.45,46.05,7.6,43.1,10.85,51.79,248,297,49
68856,최민준,SK,1226,36.79,45.92,9.14,44.29,9.79,45.55,451,563,112
62360,김태훈,SS,1150,36.87,45.91,9.04,42.96,11.13,50.0,424,528,104
76430,김상수,LT,665,36.54,45.86,9.32,44.66,9.47,56.91,243,305,62
53139,박명근,LG,611,35.84,45.83,9.98,43.21,10.97,48.1,219,280,61
54319,김윤하,WO,1762,36.95,45.63,8.68,45.74,8.63,48.57,651,804,153
68043,김민,SK,915,36.07,45.46,9.4,44.26,10.27,45.56,330,416,86
55267,홍민규,OB,626,38.82,45.37,6.55,45.37,9.27,47.13,243,284,41
54768,조동욱,HH,1085,37.97,45.35,7.37,43.59,11.06,51.39,412,492,80
66920,최성영,NC,973,38.13,45.32,7.19,43.99,10.69,48.33,371,441,70
50812,박시후,SK,894,36.69,45.3,8.61,42.73,11.97,48.43,328,405,77
51867,김건우,SK,1320,37.73,45.3,7.58,45.61,9.09,43.71,498,598,100
63950,장현식,LG,818,36.06,45.23,9.17,44.01,10.76,49.08,295,370,75
68900,김영규,NC,712,35.96,45.22,9.27,43.96,10.81,53.49,256,322,66
61666,한승혁,HH,965,36.89,45.18,8.29,43.42,11.4,50.97,356,436,80
69108,이지강,LG,948,36.71,45.15,8.44,44.41,10.44,56.89,348,428,80
63765,김종수,HH,1048,37.6,45.13,7.54,44.56,10.31,46.69,394,473,79
