pitcher_pcode,pitcher_name,total_pitches,heart_count,shadow_count,waste_count,regulation_count,heart_pct,shadow_pct,waste_pct,all_strike_pct,regulation_pct,heart_ratio
55322,로젠버그,1380,209,613,558,531,15.14,44.42,40.43,59.57,38.48,25.43
64021,박세웅,2814,505,1171,1138,1107,17.95,41.61,40.44,59.56,39.34,30.13
68856,최민준,1226,195,535,496,451,15.91,43.64,40.46,59.54,36.79,26.71
52701,문동주,1977,345,832,800,781,17.45,42.08,40.47,59.53,39.5,29.31
54729,황준서,988,176,412,400,385,17.81,41.7,40.49,59.51,38.97,29.93
53609,곽도규,121,18,54,49,45,14.88,44.63,40.5,59.5,37.19,25.0
64001,고영표,2611,429,1122,1060,975,16.43,42.97,40.6,59.4,37.34,27.66
50596,홍민기,497,76,219,202,185,15.29,44.06,40.64,59.36,37.22,25.76
53455,이호성,978,166,413,399,381,16.97,42.23,40.8,59.2,38.96,28.67
76118,원종현,874,159,358,357,331,18.19,40.96,40.85,59.15,37.87,30.75
69620,김기훈,482,79,206,197,194,16.39,42.74,40.87,59.13,40.25,27.72
77829,김광현,2615,436,1110,1069,973,16.67,42.45,40.88,59.12,37.21,28.2
67539,나균안,2437,415,1022,1000,957,17.03,41.94,41.03,58.97,39.27,28.88
52995,김녹원,1286,211,546,529,484,16.41,42.46,41.14,58.86,37.64,27.87
69032,쿠에바스,1819,290,780,749,645,15.94,42.88,41.18,58.82,35.46,27.1
52528,반즈,837,159,333,345,341,19.0,39.78,41.22,58.78,40.74,32.32
55460,가라비토,1352,222,572,558,513,16.42,42.31,41.27,58.73,37.94,27.96
66920,최성영,973,158,413,402,371,16.24,42.45,41.32,58.68,38.13,27.67
65665,이준영,525,84,224,217,197,16.0,42.67,41.33,58.67,37.52,27.27
63342,조상우,1052,173,444,435,374,16.44,42.21,41.35,58.65,35.55,28.04
65117,이상규,198,36,80,82,79,18.18,40.4,41.41,58.59,39.9,31.03
68242,정철원,1093,187,453,453,431,17.11,41.45,41.45,58.55,39.43,29.22
65060,주권,648,100,278,270,253,15.43,42.9,41.67,58.33,39.04,26.46
52330,주승우,681,114,282,285,243,16.74,41.41,41.85,58.15,35.68,28.79
54319,김윤하,1762,285,739,738,651,16.17,41.94,41.88,58.12,36.95,27.83
53898,송영진,1102,188,452,462,432,17.06,41.02,41.92,58.08,39.2,29.38
68896,이채호,183,37,69,77,76,20.22,37.7,42.08,57.92,41.53,34.91
