pitcher_pcode,pitcher_name,team_id,total_pitches,regulation_zone_pct,abs_zone_pct,shadow_zone_pct,waste_pct,first_pitch_strike_pct,regulation_zone_count,abs_zone_count,shadow_zone_count,pitch_group
52992,이준혁,NC,665,33.68,42.86,9.17,11.58,53.99,224,285,61,501-1000구
72523,고효준,OB,385,36.1,42.86,6.75,12.99,38.46,139,165,26,201-500구
54401,김대호,SS,512,33.2,42.77,9.57,10.35,41.67,170,219,49,501-1000구
55359,김서준,WO,227,33.92,42.73,8.81,11.89,42.62,77,97,20,201-500구
51648,이의리,HT,776,32.73,42.65,9.92,11.73,37.82,254,331,77,501-1000구
65769,김범수,HH,757,34.74,42.54,7.79,11.36,43.85,263,322,59,501-1000구
77211,이용찬,NC,396,33.84,42.42,8.59,8.08,55.88,134,168,34,201-500구
53259,최준호,OB,409,33.5,42.3,8.8,12.22,53.06,137,173,36,201-500구
50992,김태경,NC,357,33.33,42.3,8.96,12.61,45.12,119,151,32,201-500구
54404,육선엽,SS,625,33.28,42.24,8.96,8.16,40.0,208,264,56,501-1000구
50441,황동재,SS,443,33.18,42.21,9.03,9.93,35.45,147,187,40,201-500구
64995,배재환,NC,1055,32.51,42.18,9.67,11.18,46.25,343,445,102,1000구+
53615,이도현,HT,228,33.33,42.11,8.77,10.09,44.44,76,96,20,201-500구
66858,정동윤,SK,421,33.49,42.04,8.55,15.68,42.06,141,177,36,201-500구
67365,양지율,WO,262,31.68,41.98,10.31,10.69,37.31,83,110,27,201-500구
52204,이병헌,OB,254,32.68,41.73,9.06,9.84,40.63,83,106,23,201-500구
67419,문용익,KT,553,32.91,41.41,8.5,10.49,50.0,182,229,47,501-1000구
68269,김호준,OB,272,33.46,41.18,7.72,8.82,39.13,91,112,21,201-500구
53754,김서현,HH,1013,32.48,41.07,8.59,13.03,40.24,329,416,87,1000구+
63145,배재준,LG,203,34.98,40.89,5.91,10.34,32.0,71,83,12,201-500구
51994,한재승,HT,716,34.5,40.78,6.28,10.61,37.21,247,292,45,501-1000구
68200,김민규,OB,199,36.18,40.7,4.52,9.55,39.13,72,81,9,100-200구
53006,강건,KT,118,38.14,40.68,2.54,8.47,32.26,45,48,3,100-200구
55394,박정훈,WO,434,31.34,40.55,9.22,14.75,41.07,136,176,40,201-500구
67588,윤성빈,LT,500,34.6,40.4,5.8,13.0,46.34,173,202,29,201-500구
66291,이영하,OB,1104,32.79,40.4,7.61,14.13,41.55,362,446,84,1000구+
62528,김원중,LT,1044,32.09,40.33,8.24,11.3,43.41,335,421,86,1000구+
67954,김진호,NC,1212,32.67,40.18,7.51,13.37,43.24,396,487,91,1000구+
60559,박시영,LT,167,33.53,40.12,6.59,11.38,51.22,56,67,11,100-200구
64596,김유영,LG,145,35.17,40.0,4.83,13.79,25.0,51,58,7,100-200구
63512,박진형,LT,105,36.19,40.0,3.81,10.48,44.44,38,42,4,100-200구
52731,박준영,HH,103,35.92,39.81,3.88,9.71,39.13,37,41,4,100-200구
55995,김태훈,NC,342,31.87,39.77,7.89,14.62,44.09,109,136,27,201-500구
61145,이우찬,LG,369,31.44,39.57,8.13,11.38,45.74,116,146,30,201-500구
55396,윤현,WO,572,30.77,39.51,8.74,13.99,30.99,176,226,50,501-1000구
55040,김동현,KT,118,33.05,38.98,5.93,16.95,33.33,39,46,7,100-200구
67956,김태현,NC,102,32.35,38.24,5.88,13.73,40.74,33,39,6,100-200구
69205,이교훈,OB,127,30.71,37.8,7.09,14.17,27.59,39,48,9,100-200구
68159,성동현,LG,239,30.96,37.66,6.69,11.3,37.74,74,90,16,201-500구
54903,최우석,NC,327,28.44,37.61,9.17,11.62,37.21,93,123,30,201-500구
65639,박정수,OB,455,29.89,37.36,7.47,15.38,41.6,136,170,34,201-500구
54363,손현기,WO,132,27.27,36.36,9.09,14.39,51.72,36,48,12,100-200구
53919,신영우,NC,340,29.41,35.88,6.47,21.47,28.21,100,122,22,201-500구
53164,김동규,WO,222,28.38,34.68,6.31,16.67,40.74,63,77,14,201-500구
50641,장재혁,HT,120,22.5,32.5,10.0,18.33,30.77,27,39,12,100-200구
